clip,call_type,selected_preset,candidate_score,has_safe_noise,has_context,reduction_pct,sparsity_pct,peak_freq_hz,peak_in_target_band,target_band_retention_pct,machine_band_suppression_pct,target_machine_ratio_gain_db,target_band_cosine_similarity,core_rumble_retention_pct,target_band_low_hz,target_band_high_hz,noise_reference_match_reduction_db,context_elephant_band_energy
call_195.wav,rumble,rumble_balanced,48.166043263447456,1,1,49.08988921890929,94.06474501108647,56.6628701594533,1,27.160782145461987,99.70969988485149,19.710950640133476,0.8597322702407837,27.160782145461987,10.0,150.0,25.371527919038797,3101827.0
call_74.wav,rumble,rumble_aggressive,55.46414955762643,1,1,4.8135513227930975,96.43173535183628,26.748599313211635,1,91.32592127263524,99.01894555331475,19.689009513786324,0.9806785583496094,91.32592127263524,10.0,150.0,20.083068894204512,1063773.625
call_154.wav,rumble,rumble_conservative,40.386827698221566,1,1,73.03691016087431,91.4493592393551,28.704318936877073,1,11.223114234610259,99.85829055149172,18.987145755204395,0.8144698739051819,11.223114234610259,10.0,150.0,28.48601192108195,98293.0546875
call_190.wav,rumble,rumble_balanced,39.612902891223506,1,1,74.71936639922171,96.46939714680165,27.147971360381863,1,12.674084417851313,99.8154899950153,18.368966749032392,0.744721531867981,12.674084417851313,10.0,150.0,27.33980079413616,129094.9921875
call_62.wav,rumble,rumble_conservative,49.26542318152488,0,1,37.40403389572469,86.22238163558106,31.55452436194895,1,52.08293904972643,99.19976248158429,18.134765745421046,0.9665595293045044,52.08293904972643,10.0,150.0,,2899230.75
call_20.wav,rumble,rumble_aggressive,44.91033686027439,1,1,53.275566190011304,94.73790166473093,13.02931596091205,1,22.374733240587112,99.64107466808598,17.947537555414748,0.9367335438728333,22.374733240587112,10.0,150.0,24.449958893337097,52947.0703125
call_206.wav,rumble,rumble_aggressive,49.25646816248012,0,1,36.34582657572594,89.52968246663599,35.79952267303103,1,56.59499703457889,99.08520176543121,17.91452723692253,0.9487267732620239,56.59499703457889,10.0,150.0,,768714.5
call_197.wav,rumble,rumble_conservative,46.57504647112024,0,1,45.02274984736155,86.67750677506774,46.10373340015033,1,33.5134848635981,99.41439814412044,17.576171454156203,0.9579882621765137,33.5134848635981,10.0,150.0,,147146.609375
call_198.wav,roar,roar_conservative,43.34749160917319,1,1,66.75489461940367,87.02439024390245,42.995444191343964,1,16.317905414437178,99.70467362834799,17.423621817103044,0.9543737173080444,13.410186809873634,40.0,300.0,25.296977702662527,116280.515625
call_53.wav,rumble,rumble_aggressive,46.49575738240727,1,1,35.976617860537566,95.73892133287531,28.963077603360603,1,42.19973871112413,99.21611737021327,17.310587210064217,0.8879590034484863,42.19973871112413,10.0,150.0,21.057489590653233,96993.3203125
call_44.wav,rumble,rumble_aggressive,48.578489322626375,1,1,20.389872439062074,95.66117336849044,15.161221439248346,1,64.93892436844028,98.62527278901887,16.742885617463692,0.9693168997764587,64.93892436844028,10.0,150.0,18.617834709383654,38957.03125
call_95.wav,rumble,rumble_aggressive,49.854718698752784,1,1,10.418235602563641,95.29528771015866,24.908312958435204,1,81.3481076953207,98.2212110349674,16.602230283338262,0.9523860812187195,81.3481076953207,10.0,150.0,17.49875573421597,297874.78125
call_78.wav,rumble,rumble_aggressive,49.91159577283186,1,1,10.169534871301245,96.580044345898,27.75368603642671,1,81.40393472263825,98.17875848286116,16.502778554048852,0.976626455783844,81.40393472263825,10.0,150.0,17.396324580460263,639620.1875
call_93.wav,rumble,rumble_aggressive,49.07715353853724,1,1,13.195095126927503,94.0470066518847,27.334851936218676,1,76.47489147325872,98.22811356391063,16.350829857422667,0.9600316882133484,76.47489147325872,10.0,150.0,17.515641163993568,144444.53125
call_87.wav,rumble,rumble_aggressive,44.203737236161814,1,1,49.461609848455105,94.32055749128921,34.21052631578947,1,40.498711680341806,99.04438763745091,16.27159448442921,0.806260347366333,40.498711680341806,10.0,150.0,20.19718240512642,50711.40234375
call_17.wav,rumble,rumble_aggressive,47.266519980627265,1,1,34.07945530162089,96.5079365079365,27.81257830117765,1,64.70720082211372,98.41329129000201,16.104554072833018,0.922045111656189,64.70720082211372,10.0,150.0,17.995027942607216,80223.0
call_73.wav,rumble,rumble_aggressive,46.176990347850285,1,1,26.800259461458566,96.47590719809637,28.96049098580744,1,54.17645872433279,98.59699120839478,15.867502212788828,0.9571352601051331,54.17645872433279,10.0,150.0,18.52939607564841,275671.75
call_84.wav,rumble,rumble_aggressive,44.21211546041687,1,1,32.81717804763489,96.5906394199077,24.77573686458778,1,46.29374426598519,98.71939204248072,15.581061120612425,0.8589630126953125,46.29374426598519,10.0,150.0,18.925838038579563,75846.9296875
call_102.wav,rumble,rumble_aggressive,44.49808877338477,1,1,31.21192571145516,96.13447593935399,24.920802534318902,1,49.78102698977509,98.58782637738595,15.47175756688674,0.8715624213218689,49.78102698977509,10.0,150.0,18.501119047658065,20485.619140625
call_4.wav,rumble,rumble_aggressive,45.019192684385956,1,1,29.53143849642853,93.29616724738676,49.664429530201346,1,52.26313393956188,98.49371332216101,15.402878134320003,0.9186691045761108,52.26313393956188,10.0,150.0,18.220923649513324,1465916.75
call_108.wav,rumble,rumble_aggressive,45.771771209663825,1,1,39.156310105276184,96.54912891986062,27.620556939098936,1,70.94388720096184,97.44769565621377,14.439825213124465,0.9582264423370361,70.94388720096184,10.0,150.0,15.930675403950627,132063.515625
call_122.wav,rumble,rumble_balanced,30.20363343716872,1,1,82.50343071918185,89.82384823848238,19.142919295192517,1,3.7411160236974905,99.8645168446773,14.41115874683489,0.763168454170227,3.7411160236974905,10.0,150.0,28.68114697447531,329837.90625
call_138.wav,rumble,rumble_aggressive,48.1793986393825,1,1,6.215783217593829,93.95787139689578,31.44199494036863,1,93.40740257293149,96.61178638637668,14.404105125091561,0.9929960370063782,93.40740257293149,10.0,150.0,14.700292169088083,883523.6875
call_106.wav,rumble,rumble_aggressive,40.202244328688835,1,1,51.87065436444327,96.42749445676276,40.148063781321184,1,25.694397679220764,99.06425530172952,14.386810663583791,0.8207661509513855,25.694397679220764,10.0,150.0,20.288426248258705,15212.2392578125
call_98.wav,rumble,rumble_aggressive,46.44397200399315,1,1,11.498174013941354,95.85365853658536,25.60544904137235,1,79.13582906715246,97.07791891340727,14.326808933437675,0.9633278846740723,79.13582906715246,10.0,150.0,15.343077367346508,582973.0
